Best Full Bound,Test Error,Train Error,Norm Squared U,Norm Squared V,Number Parameters,Best Prior Bound,Best Prior Sigma U,Best Prior Sigma V,Stochastic Bnd Loss,Stochastic Test Loss,Beta,Step Size,Layer Width,Batch Size,Momentum,CE Stopping Value,Prior Examples,Dataset,Train Size,Model Type,Sigma 2 Grid,Sigma 1 Grid,Init Key,KL Extra
1.0653853,0.1494,0.13196665,61.126347,44.842964,158800,0.8017178,0.0,0.07,0.334875,0.3486,5.0,0.01,200,200,0.9,0.3,36000,fashion,60000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",5,64000
1.2408113,0.1458,0.121500015,78.23057,57.01107,158800,0.96674776,0.0,0.07,0.33541667,0.3436,5.0,0.01,200,200,0.9,0.3,18000,fashion,30000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",5,64000
1.5886779,0.14360005,0.08380002,147.20311,106.76938,158800,1.36544,0.0,0.13,0.366,0.3866,5.0,0.01,200,200,0.9,0.3,9000,fashion,15000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",5,64000
1.4455671,0.16900003,0.13279998,35.528206,29.935125,158800,1.1257018,0.0,0.1,0.35633332,0.38259998,5.0,0.01,200,200,0.9,0.3,4500,fashion,7500,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",5,64000
1.079139,0.14790004,0.12949997,67.312195,50.224384,158800,0.8110586,0.0,0.07,0.34025,0.3403,5.0,0.01,200,200,0.9,0.3,36000,fashion,60000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.2531734,0.14600003,0.118799984,80.69264,60.5869,158800,0.97124,0.0,0.09,0.34475,0.3689,5.0,0.01,200,200,0.9,0.3,18000,fashion,30000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.5623292,0.14780003,0.08686668,133.74432,99.665405,158800,1.3295286,0.0,0.13,0.37966666,0.3919,5.0,0.01,200,200,0.9,0.3,9000,fashion,15000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.4680729,0.1692,0.12386668,40.12858,34.23228,158800,1.1456544,0.0,0.1,0.35533333,0.3838,5.0,0.01,200,200,0.9,0.3,4500,fashion,7500,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.0672385,0.1458,0.12975001,65.67015,47.41154,158800,0.80885,0.0,0.06,0.32933334,0.3434,5.0,0.01,200,200,0.9,0.3,36000,fashion,60000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",7,64000
1.2984151,0.13930005,0.11186665,100.360664,71.41855,158800,1.011051,0.0,0.08,0.33991668,0.3595,5.0,0.01,200,200,0.9,0.3,18000,fashion,30000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",7,64000
1.582575,0.1433,0.083933294,148.11491,106.51676,158800,1.3516005,0.0,0.11,0.36533332,0.37809998,5.0,0.01,200,200,0.9,0.3,9000,fashion,15000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",7,64000
1.4499636,0.167,0.12946665,37.125504,30.26675,158800,1.1111052,0.0,0.1,0.35833332,0.382,5.0,0.01,200,200,0.9,0.3,4500,fashion,7500,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",7,64000
1.0617176,0.15150005,0.13351667,59.004234,44.258354,158800,0.7972067,0.0,0.07,0.337375,0.34559998,5.0,0.01,200,200,0.9,0.3,36000,fashion,60000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",8,64000
1.2820965,0.14270002,0.113966644,93.82558,68.48226,158800,1.0007262,0.0,0.12,0.36141667,0.3769,5.0,0.01,200,200,0.9,0.3,18000,fashion,30000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",8,64000
1.5806578,0.14610004,0.08473331,144.33012,107.13398,158800,1.3532089,0.0,0.13,0.38083333,0.38819999,5.0,0.01,200,200,0.9,0.3,9000,fashion,15000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",8,64000
1.4364294,0.17320001,0.13239998,35.08007,29.967594,158800,1.1136097,0.0,0.09,0.34966666,0.3811,5.0,0.01,200,200,0.9,0.3,4500,fashion,7500,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",8,64000
1.0659448,0.14950001,0.13278335,60.572216,46.597645,158800,0.8089609,0.0,0.06,0.32979167,0.34399998,5.0,0.01,200,200,0.9,0.3,36000,fashion,60000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",9,64000
1.2756532,0.14540005,0.116633296,91.215385,67.57206,158800,0.9941881,0.0,0.11,0.35616666,0.368,5.0,0.01,200,200,0.9,0.3,18000,fashion,30000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",9,64000
1.5526025,0.1462,0.088733315,130.84708,96.75751,158800,1.319391,0.0,0.13,0.3795,0.3936,5.0,0.01,200,200,0.9,0.3,9000,fashion,15000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",9,64000
1.4519633,0.17160004,0.1304,36.91308,30.894344,158800,1.1335286,0.0,0.09,0.34833333,0.38259998,5.0,0.01,200,200,0.9,0.3,4500,fashion,7500,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",9,64000
1.0692385,0.14820004,0.13115,65.10804,47.75332,158800,0.81093425,0.0,0.08,0.33895832,0.3538,5.0,0.01,200,200,0.9,0.3,36000,fashion,60000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",10,64000
1.2309884,0.14680004,0.12189996,74.710556,55.17932,158800,0.93733406,0.0,0.09,0.34766665,0.3619,5.0,0.01,200,200,0.9,0.3,18000,fashion,30000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",10,64000
1.5741603,0.14680004,0.0843333,143.86371,104.96291,158800,1.3589765,0.0,0.14,0.37316665,0.39769998,5.0,0.01,200,200,0.9,0.3,9000,fashion,15000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",10,64000
1.4719616,0.16780001,0.12586665,40.98393,34.16357,158800,1.1523924,0.0,0.1,0.352,0.3753,5.0,0.01,200,200,0.9,0.3,4500,fashion,7500,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",10,64000
