Best Full Bound,Test Error,Train Error,Norm Squared U,Norm Squared V,Number Parameters,Best Prior Bound,Best Prior Sigma U,Best Prior Sigma V,Stochastic Bnd Loss,Stochastic Test Loss,Beta,Step Size,Layer Width,Batch Size,Momentum,CE Stopping Value,Prior Examples,Dataset,Model Type,Sigma 2 Grid,Sigma 1 Grid,Init Key,KL Extra
0.87993765,0.045900047,0.040216684,90.129974,61.422512,158800,0.58549905,0.0,0.05,0.20308334,0.20269999,5.0,0.01,200,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
0.96597034,0.04730004,0.04068333,76.11555,48.052998,317600,0.6707678,0.0,0.05,0.23445833,0.2383,5.0,0.01,400,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
1.075933,0.04760003,0.04004997,62.55645,37.375893,635200,0.7947698,0.0,0.05,0.29033333,0.2924,5.0,0.01,800,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
1.2330599,0.04460001,0.035916626,57.014713,31.17316,1270400,1.0055472,0.0,0.06,0.39870834,0.4039,5.0,0.01,1600,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
0.79012233,0.04520005,0.041449964,110.24635,92.46887,39700,0.4998646,0.0,0.09,0.19066666,0.18949999,5.0,0.003,50,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
0.83022976,0.04460001,0.041050017,99.54162,72.1218,79400,0.5198929,0.0,0.07,0.19945833,0.1963,5.0,0.003,100,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
0.88244766,0.0467,0.04153335,84.91278,59.40848,158800,0.5862315,0.0,0.05,0.205875,0.2121,5.0,0.003,200,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
0.9701401,0.048300028,0.042349994,69.12023,44.843334,317600,0.6677464,0.0,0.06,0.25033334,0.2581,5.0,0.003,400,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
1.0780184,0.04820001,0.042050004,54.379295,33.37631,635200,0.7999563,0.0,0.05,0.3055,0.3085,5.0,0.003,800,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
1.2436816,0.04760003,0.038949966,46.345028,26.150917,1270400,1.0075289,0.0,0.05,0.40295833,0.4025,5.0,0.003,1600,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
