Best Full Bound,Test Error,Train Error,Norm Squared U,Norm Squared V,Number Parameters,Best Prior Bound,Best Prior Sigma U,Best Prior Sigma V,Stochastic Bnd Loss,Stochastic Test Loss,Beta,Step Size,Layer Width,Batch Size,Momentum,CE Stopping Value,Prior Examples,Dataset,Train Size,Model Type,Sigma 2 Grid,Sigma 1 Grid,Init Key,KL Extra
0.9136834,0.037,0.031333327,117.188614,80.85626,158800,0.59156126,0.0,0.08,0.20525,0.21079999,5.0,0.01,200,200,0.9,0.1,36000,mnist,60000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",5,64000
1.158973,0.035300016,0.018700004,151.63406,106.76531,158800,0.8016092,0.0,0.1,0.22091666,0.2241,5.0,0.01,200,200,0.9,0.1,18000,mnist,30000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",5,64000
1.2315742,0.055600047,0.032933295,80.55837,59.683426,158800,0.8941444,0.0,0.11,0.24783333,0.2581,5.0,0.01,200,200,0.9,0.1,9000,mnist,15000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",5,64000
1.276664,0.08310002,0.051066637,39.092052,32.468594,158800,0.85140353,0.0,0.09,0.239,0.2608,5.0,0.01,200,200,0.9,0.1,4500,mnist,7500,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",5,64000
0.9048726,0.038300037,0.033616662,111.89782,72.62953,158800,0.58859724,0.0,0.08,0.213625,0.21059999,5.0,0.01,200,200,0.9,0.1,36000,mnist,60000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.1568856,0.035600007,0.01999998,150.44463,100.6489,158800,0.8267789,0.0,0.1,0.22291666,0.2315,5.0,0.01,200,200,0.9,0.1,18000,mnist,30000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.2462057,0.05610001,0.03093332,87.4145,60.305576,158800,0.92063725,0.0,0.1,0.23983333,0.2462,5.0,0.01,200,200,0.9,0.1,9000,mnist,15000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.2459714,0.08490002,0.056800008,34.835865,28.240473,158800,0.83517605,0.0,0.1,0.26,0.2764,5.0,0.01,200,200,0.9,0.1,4500,mnist,7500,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
0.87671113,0.04610002,0.04246664,85.33463,55.28598,158800,0.57945,0.0,0.07,0.22270833,0.2209,5.0,0.01,200,200,0.9,0.1,36000,mnist,60000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",7,64000
1.148594,0.038400054,0.020866632,142.44244,94.74482,158800,0.8048242,0.0,0.08,0.21566667,0.225,5.0,0.01,200,200,0.9,0.1,18000,mnist,30000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",7,64000
