Best Full Bound,Test Error,Train Error,Norm Squared U,Norm Squared V,Number Parameters,Best Prior Bound,Best Prior Sigma U,Best Prior Sigma V,Stochastic Bnd Loss,Stochastic Test Loss,Beta,Step Size,Layer Width,Batch Size,Momentum,CE Stopping Value,Prior Examples,Dataset,Train Size,Model Type,Sigma 2 Grid,Sigma 1 Grid,Init Key,KL Extra
1.264606,0.08030003,0.054533303,45.546597,31.303888,158800,0.67329895,0.1,0.08,0.122666664,0.1533,5.0,0.01,200,200,0.9,0.1,4500,mnist,7500,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",3,1024000
0.6879964,0.043000042,0.04038334,87.32206,57.03584,158800,0.2982205,0.08,0.07,0.08475,0.085999995,5.0,0.01,200,200,0.9,0.1,36000,mnist,60000,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",4,1024000
0.98887974,0.036500037,0.02366668,126.09032,82.62711,158800,0.5055476,0.09,0.1,0.085,0.0984,5.0,0.01,200,200,0.9,0.1,18000,mnist,30000,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",4,1024000
1.1203797,0.056900024,0.03793335,72.78903,50.457874,158800,0.64866805,0.12,0.08,0.12966667,0.1433,5.0,0.01,200,200,0.9,0.1,9000,mnist,15000,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",4,1024000
1.2427115,0.08020002,0.052266657,42.044052,30.664465,158800,0.65402204,0.12,0.07,0.14066666,0.16399999,5.0,0.01,200,200,0.9,0.1,4500,mnist,7500,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",4,1024000
0.81808704,0.027800024,0.019933343,168.99973,106.800735,158800,0.38090053,0.09,0.07,0.073583335,0.0756,5.0,0.01,200,200,0.9,0.1,36000,mnist,60000,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",5,1024000
1.0219866,0.034099996,0.020733297,138.95055,90.56868,158800,0.536447,0.1,0.09,0.08758333,0.1015,5.0,0.01,200,200,0.9,0.1,18000,mnist,30000,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",5,1024000
1.142912,0.052100003,0.03399998,79.05317,54.93422,158800,0.6533203,0.1,0.09,0.11366667,0.12459999,5.0,0.01,200,200,0.9,0.1,9000,mnist,15000,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",5,1024000
1.2690845,0.07970005,0.050533295,44.542522,32.785736,158800,0.6683781,0.09,0.08,0.11766666,0.1459,5.0,0.01,200,200,0.9,0.1,4500,mnist,7500,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",5,1024000
0.7141866,0.038100004,0.03401667,103.76522,65.26968,158800,0.30536705,0.08,0.06,0.07779167,0.0751,5.0,0.01,200,200,0.9,0.1,36000,mnist,60000,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",6,1024000
